UniqueSampleID,UMAP1,UMAP2,TREAT1_clean,condition,MS_batch_proxy
20251001_XZ_YA_13,5.17661915161891,1.14920792432086,low,高海拔,20251001
20251001_XZ_YA_14,4.809867480781508,2.3206748709227276,low,高海拔,20251001
20251001_XZ_YA_15,4.983881572273207,1.4481940016295147,low,高海拔,20251001
20251001_XZ_YA_16,5.037141898658705,1.3637047752882672,low,高海拔,20251001
20251001_XZ_YA_17,4.113433936622572,3.2358867868925763,low,高海拔,20251001
20251001_XZ_YA_18,5.148739913490248,1.380467747166319,low,高海拔,20251001
20251001_XZ_YA_19,4.917570212867689,1.989116166546507,low,高海拔,20251001
20251001_XZ_YA_20,4.618612864997816,3.393300269558592,control,高海拔,20251001
20251001_XZ_YA_21,5.515899756935072,2.800006125881834,control,高海拔,20251001
20251001_XZ_YA_22,3.65288720467372,4.315016005947752,high,高海拔,20251001
20251001_XZ_YB_2,5.611328223731947,0.9466956600691508,control,高海拔,20251001
20251001_XZ_YB_4,4.946675399330092,1.8005687937285138,control,高海拔,20251001
20251001_XZ_YB_6,5.447373488929701,1.0763689026381207,control,高海拔,20251001
20251001_XZ_YB_9,5.376788238075209,1.0484952673460675,control,高海拔,20251001
20251001_XZ_YB_10,5.385831454780531,1.0420838341261578,control,高海拔,20251001
20251001_XZ_YB_11,4.906603911903334,1.4903269753004742,control,高海拔,20251001
20251001_XZ_YB_12,6.164628127601576,1.0220327124144268,control,高海拔,20251001
20251001_XZ_YB_14,5.440597156074476,1.4659118399168682,control,高海拔,20251001
20251001_XZ_YB_15,6.146316150215101,1.1366066679503155,control,高海拔,20251001
20251001_XZ_YB_19,5.340233424690199,1.0745285496260357,control,高海拔,20251001
20251001_XZ_YC_1,5.091369727638197,2.7394883379484845,control,高海拔,20251001
20251001_XZ_YC_2,4.762502769020033,2.0655081018950177,control,高海拔,20251001
20251001_XZ_YC_3,5.065776446845961,1.7591457113768292,high,高海拔,20251001
20251001_XZ_YC_4,4.694187739875746,2.2644428953673077,control,高海拔,20251001
20251001_XZ_YC_5,6.0242196116714,1.2007670149351788,high,高海拔,20251001
20251001_XZ_YC_6,4.1392105613021375,3.2276434645201397,low,高海拔,20251001
20251001_XZ_YC_7,4.630778888252211,2.4807209715391827,low,高海拔,20251001
20251001_XZ_YC_8,6.0061775241164685,1.161086653187437,control,高海拔,20251001
20251001_XZ_YC_9,3.7804335150985247,4.210764621212644,low,高海拔,20251001
20251001_XZ_YC_10,5.420156100776625,1.1879354462172222,high,高海拔,20251001
20251001_XZ_YC_11,4.243793586280775,3.5880653605009747,high,高海拔,20251001
20251001_XZ_YC_12,5.173839667823744,1.4812513336683941,high,高海拔,20251001
20251001_XZ_YC_13,4.3689375911025525,2.9073843702818585,high,高海拔,20251001
20251001_XZ_YC_14,4.394505599525404,3.03776571603076,high,高海拔,20251001
20251001_XZ_YC_15,5.122062781837416,2.519016955807371,high,高海拔,20251001
20251001_XZ_YC_16,5.133601764228773,2.517446015789671,high,高海拔,20251001
20251001_XZ_YC_17,5.351190665748549,1.7494418367888165,high,高海拔,20251001
20251001_XZ_YC_18,4.078098872688246,3.1035370573546124,low,高海拔,20251001
20251001_XZ_YC_19,5.8451744113235,1.3039221510435772,high,高海拔,20251001
20251001_XZ_YC_20,4.863428691413832,2.5202402815367413,low,高海拔,20251001
20251001_XZ_YC_21,4.697816470649672,3.103857491924925,high,高海拔,20251001
20251001_XZ_YC_22,5.971831897285414,1.1972307905699444,high,高海拔,20251001
20251001_XZ_YC_23,6.091083625343275,1.2976288542296124,low,高海拔,20251001
20251001_XZ_YC_24,4.65199814179225,3.189734433605833,high,高海拔,20251001
20251001_XZ_YC_25,4.1144419703750135,3.444577430203123,high,高海拔,20251001
20251001_XZ_YC_26,5.9856368098525525,1.353261445477171,high,高海拔,20251001
20251001_XZ_YC_27,3.7178858313827043,4.265933726742429,high,高海拔,20251001
20251001_XZ_YC_28,6.150749305274916,1.146063779308958,high,高海拔,20251001
20251001_XZ_YC_29,4.9181223902968885,3.097041104748411,high,高海拔,20251001
20251001_XZ_YC_30,5.568032840278578,1.1537041410948468,low,高海拔,20251001
20251001_XZ_YC_31,5.172674754646254,1.3139919981505108,control,高海拔,20251001
20251001_XZ_YC_32,5.913219073799086,1.0795097097899151,high,高海拔,20251001
20251001_XZ_YC_33,6.134253123786879,1.1057263359572125,high,高海拔,20251001
20251001_XZ_YC_34,5.504580596473646,1.2027472004439068,control,高海拔,20251001
20251001_XZ_YD_1,5.254964450386,1.6776499495054913,low,高海拔,20251001
20251001_XZ_YD_3,4.40594683029933,3.457084153607054,control,高海拔,20251001
20251001_XZ_YD_4,4.347312549140883,3.4481389269377423,control,高海拔,20251001
20251001_XZ_YD_5,5.343576053169203,3.0622889742399884,low,高海拔,20251001
20251001_XZ_YD_6,4.531105140235853,3.5528003916289044,control,高海拔,20251001
20251001_XZ_YD_7,5.535422900703383,2.7301621183897686,high,高海拔,20251001
20251001_XZ_YD_8,5.437463382270765,2.9216785177733136,high,高海拔,20251001
20251001_XZ_YD_9,4.248142818000746,3.644349788143797,high,高海拔,20251001
20251001_XZ_YD_10,5.546870330360365,2.749933932736082,high,高海拔,20251001
20251001_XZ_YD_11,5.562114337470961,2.650557015850706,high,高海拔,20251001
20251001_XZ_YD_12,5.583225825813246,2.732905124142332,control,高海拔,20251001
20251001_XZ_YD_13,5.418682673957777,2.385047172024412,control,高海拔,20251001
20251001_XZ_YD_14,4.4734273944167615,2.9897677645231915,control,高海拔,20251001
