"PG.ProteinGroups","logFC_primary","logFC_comparison"
"P06276",0.258805243121797,0.222366916241544
"P06310",0.0459548803793908,0.0111622046063005
"P06312",0.33434151434138,0.326672757011407
"P06331",0.255789686106166,0.237419918330124
"P06396",0.177215412097585,0.155161100456173
"P06454",-0.0165790631584404,-0.0868833409889653
"P06576",0.243821086453152,0.0707367399829542
"P06681",0.350821295833827,0.322445259369717
"P06702",0.0386467638049748,-0.0167537112382465
"P06703",-0.0424467918196605,-0.0664198134981611
"P06727",0.0573767961755642,0.0463681591399769
"P06733",-0.10339207256966,-0.199548151731793
"P06734",-0.145732697651969,-0.173287071799319
"P06744",0.2190592732924,0.156255331210176
"P06753",0.0418900038292751,0.0297441865489869
"P06756",0.108044582543053,0.0781528193907608
"P06858",-0.0530839471029694,-0.0721889325047371
"P07093",-0.24683417203885,-0.303643765146749
"P07195",0.0973355176800439,0.0943135274633367
"P07203",-0.0161266586401947,-0.101620751909945
"P07225",0.0572217945975773,0.0725289915872782
"P07237",-0.0473122319563188,-0.0906093863606436
"P07307",-0.0630349808155097,0.00382933345148651
"P07327",0.0901640497732465,0.0829670975693757
"P07333",-0.267815931941644,-0.285151195605904
"P07339",-0.17907398766752,-0.206005839531755
"P07355",-0.223793365883582,-0.238744997054898
"P07357",0.269836179396922,0.186897999672087
"P07358",0.180207976359313,0.109830209249161
"P07359",-0.197369321493191,-0.24726204452789
"P07360",0.218110445190277,0.108680109083862
"P07384",-0.0769017891846779,-0.0761942505896727
"P07437",-0.0621639539376933,-0.178936381003391
"P07477",-0.116721612417262,-0.216201204126293
"P07585",-0.182042825885441,-0.205128087239522
"P07602",-0.152305757159434,-0.218726145386924
"P07711",-0.0795987379731891,-0.0381480683949356
"P07737",-0.0492000251933167,-0.0878624030979331
"P07738",-0.00779250235071949,-0.0291934066026194
"P07741",-0.155541804153659,-0.198301313139744
"P07858",-0.25534318367408,-0.245287372720368
"P07900",-0.0421959062434905,-0.0734436469224722
"P07910",-0.112725492611146,-0.128957421884227
"P07942",-0.186585220973553,-0.210115046968683
"P07947",-0.0419615272087661,-0.116487240028874
"P07948",-0.0478705033480171,-0.140066927390604
"P07988",0.247904883114776,0.274874210206775
"P07996",-0.213706308131417,-0.253340101574178
"P08133",0.138082772676182,0.0840315321539382
"P08185",0.291570551132178,0.224367318142496
"P08195",0.111109124114405,0.0143890785458485
"P08237",0.172120140000165,0.149040096082024
"P08238",-0.198429506271353,-0.217587963431884
"P08253",0.0662245726577027,0.0210116587320694
"P08254",-0.0514604217502228,-0.0763293590076888
"P08263;P09210",-0.0436820877149415,0.0642203596453914
"P08294",-0.0835529676827118,-0.163340379569371
"P08311",0.0675301139572859,0.0472812572062207
"P08319",0.045209163456418,0.0390993096626406
"P08493",-0.196737455930567,-0.208283998196956
"P08514",-0.123586944309857,-0.189655397201362
"P08519",-0.0672729528782678,-0.124922989864551
"P08567",0.111632501747046,0.0020458419802587
"P08571",0.117953020545515,0.0514976447582978
"P08575",-0.147061906153825,-0.185923637512898
"P08581",0.176729824233956,0.129481545632689
"P08603",0.256884386652651,0.240698257681606
"P08637",0.045224805199366,-0.0376299105136386
"P08648",-0.183241929783383,-0.203383496861214
"P08670",0.234746080007893,0.134435003717114
"P08697",0.138398624476899,0.116976147015091
"P08709",0.0413952069422354,0.00824441839494128
"P08727",0.0588309059287564,0.0172840774050336
"P08729",0.226218634149079,0.116703094609353
"P08754",-0.00259463468334253,-0.114814474928099
"P08758",0.0121275981800633,-0.0291529933596433
"P08779",-0.0362156610405364,-0.0591681199637488
