"Protein","UniqueSampleID","Exposure","Log2_abundance"
"Q8TC71","20260527_XZ_GG_62","Control",13.2974245691088
"Q8TC71","20260527_XZ_GG_64","Control",13.9376720362264
"Q8TC71","20260527_XZ_GG_65","Control",13.4167967546275
"Q8TC71","20260527_XZ_GG_66","Control",12.9164743118499
"Q8TC71","20260527_XZ_GG_68","Control",14.7528173338376
"Q8TC71","20260527_XZ_GG_69","Control",13.3379634664157
"Q8TC71","20260527_XZ_GG_71","Control",15.3752165916085
"Q8TC71","20260527_XZ_GG_72","Control",13.0999139170018
"Q8TC71","20260527_XZ_GG_73","Control",12.8178441004839
"Q8TC71","20260527_XZ_GG_74","Control",13.4941298473445
"Q8TC71","20260527_XZ_GG_75","Control",13.1626689906864
"Q8TC71","20260527_XZ_GG_76","Control",
"Q8TC71","20260527_XZ_GG_77","Control",12.3801204305916
"Q8TC71","20260527_XZ_GG_78","Control",12.6112083276294
"Q8TC71","20260527_XZ_GG_79","Control",11.5395156032468
"Q8TC71","20260527_XZ_GG_80","Control",12.4816373518843
"Q8TC71","20260527_XZ_GG_81","Short exposure",13.013653896451
"Q8TC71","20260527_XZ_GG_82","Short exposure",13.0193075329525
"Q8TC71","20260527_XZ_GG_83","Short exposure",12.9417792725643
"Q8TC71","20260527_XZ_GG_84","Short exposure",14.5257550859811
"Q8TC71","20260527_XZ_GG_85","Short exposure",12.7694229263561
"Q8TC71","20260527_XZ_GG_86","Short exposure",13.5121862299056
"Q8TC71","20260527_XZ_GG_87","Short exposure",13.300986752942
"Q8TC71","20260527_XZ_GG_88","Short exposure",13.0971925835063
"Q8TC71","20260527_XZ_GG_89","Short exposure",12.5227099866383
"Q8TC71","20260527_XZ_GG_92","Short exposure",13.9464153304918
"Q8TC71","20260527_XZ_GG_93","Short exposure",12.6265231787591
"Q8TC71","20260527_XZ_GG_94","Short exposure",13.571320402855
"Q8TC71","20260527_XZ_GG_95","Short exposure",12.8719455526192
"Q8TC71","20260527_XZ_GG_96","Short exposure",13.6206728969558
"Q8TC71","20260527_XZ_GG_97","Short exposure",13.5569966475726
"Q8TC71","20260527_XZ_GG_98","Short exposure",13.6078761522055
"Q8TC71","20260527_XZ_GG_99","Short exposure",12.6216149418263
"Q8TC71","20260527_XZ_GG_100","Short exposure",12.9491330543339
"Q8TC71","20260527_XZ_GG_101","Short exposure",13.0337840831546
"Q8TC71","20260527_XZ_GG_102","Short exposure",12.7673539240041
"Q8TC71","20260527_XZ_GG_103","Short exposure",13.5762752367804
"Q8TC71","20260527_XZ_GG_104","Short exposure",13.5459780660671
"Q8TC71","20260527_XZ_GG_105","Short exposure",12.6726976828283
"Q8TC71","20260527_XZ_GG_106","Short exposure",13.7652960146925
"Q8TC71","20260527_XZ_GG_121","Control",12.3070084233348
"Q8TC71","20260527_XZ_GG_122","Control",12.4158072602143
"Q8TC71","20260527_XZ_GG_123","Long exposure",12.2463412150724
"Q8TC71","20260527_XZ_GG_124","Long exposure",12.5683384090265
"Q8TC71","20260527_XZ_GG_125","Control",
"Q8TC71","20260527_XZ_GG_126","Control",12.2456203054703
"Q8TC71","20260527_XZ_GG_128","Control",12.1447595182194
"Q8TC71","20260527_XZ_GG_129","Control",11.998264769817
"Q8TC71","20260527_XZ_GG_130","Control",12.8286242406441
"Q8TC71","20260527_XZ_GG_131","Control",11.9839594212997
"Q8TC71","20260527_XZ_GG_132","Control",11.5578787338337
"Q8TC71","20260527_XZ_GG_135","Control",12.7044264247272
"Q8TC71","20260527_XZ_GG_136","Control",
"Q8TC71","20260527_XZ_GG_137","Control",12.7986076596468
"Q8TC71","20260527_XZ_GG_138","Short exposure",12.2625243011125
"Q8TC71","20260527_XZ_GG_139","Short exposure",12.7624208696327
"Q8TC71","20260527_XZ_GG_140","Long exposure",12.0924740788473
"Q8TC71","20260527_XZ_GG_141","Long exposure",
"Q8TC71","20260527_XZ_GG_142","Long exposure",11.9041904652123
"Q8TC71","20260527_XZ_GG_143","Short exposure",12.2987043390657
"Q8TC71","20260527_XZ_GG_144","Long exposure",12.6290904289193
"Q8TC71","20260527_XZ_GG_145","Long exposure",12.1127191560922
"Q8TC71","20260527_XZ_GG_146","Short exposure",12.3473871215887
"Q8TC71","20260527_XZ_GG_147","Long exposure",12.7520435985563
"Q8TC71","20260527_XZ_GG_148","Long exposure",12.2189202900528
"Q8TC71","20260527_XZ_GG_149","Long exposure",12.720449479447
"Q8TC71","20260527_XZ_GG_150","Long exposure",12.2216748787209
"Q8TC71","20260527_XZ_GG_151","Short exposure",11.754084081299
"Q8TC71","20260527_XZ_GG_152","Control",11.7018070993184
"Q8TC71","20260527_XZ_GG_153","Long exposure",
"Q8TC71","20260527_XZ_GG_154","Short exposure",11.9451191747474
"Q8TC71","20260527_XZ_GG_155","Long exposure",12.0698856747858
"Q8TC71","20260527_XZ_GG_156","Long exposure",11.8886227718352
"Q8TC71","20260527_XZ_GG_157","Long exposure",11.5249691942624
"Q8TC71","20260527_XZ_GG_158","Short exposure",11.2563624707892
"Q8TC71","20260527_XZ_GG_159","Long exposure",11.4103203951144
"Q8TC71","20260527_XZ_GG_160","Long exposure",11.8143269318709
"Q8TC71","20260527_XZ_GG_161","Short exposure",12.1516740531141
"Q8TC71","20260527_XZ_GG_162","Long exposure",12.0745633794706
"Q8TC71","20260527_XZ_GG_163","Short exposure",11.6923510460786
"Q8TC71","20260527_XZ_GG_164","Short exposure",11.7244412006147
"Q8TC71","20260527_XZ_GG_165","Long exposure",11.9671390807563
"Q8TC71","20260527_XZ_GG_166","Short exposure",11.413172604477
"Q8TC71","20260527_XZ_GG_167","Long exposure",12.0413672202246
"Q8TC71","20260527_XZ_GG_168","Long exposure",12.157618939889
"Q8TC71","20260527_XZ_GG_169","Long exposure",11.6785948740493
"Q8TC71","20260527_XZ_GG_170","Short exposure",11.8659029533709
"Q8TC71","20260527_XZ_GG_171","Long exposure",
"Q8TC71","20260717_GZ_TH_1","Control",12.8393326927225
"Q8TC71","20260717_GZ_TH_2","Control",
"Q8TC71","20260717_GZ_TH_3","Control",13.9616487541193
"Q8TC71","20260717_GZ_TH_4","Control",14.1091623962732
"Q8TC71","20260717_GZ_TH_6","Long exposure",14.1730187455034
"Q8TC71","20260717_GZ_TH_7","Long exposure",14.2930313762424
"Q8TC71","20260717_GZ_TH_8","Long exposure",13.2892061478516
"Q8TC71","20260717_GZ_TH_9","Long exposure",11.9437649902118
"Q8TC71","20260717_GZ_TH_10","Long exposure",13.7674954723896
"Q8TC71","20260717_GZ_TH_11","Long exposure",14.1529137808566
"Q8TC71","20260717_GZ_TH_12","Short exposure",13.4290314846878
"Q8TC71","20260717_GZ_TH_13","Short exposure",13.2786454065426
"Q8TC71","20260717_GZ_TH_14","Long exposure",13.8915275791278
"Q8TC71","20260717_GZ_TH_15","Short exposure",13.3821659353275
"Q8TC71","20260717_GZ_TH_16","Short exposure",13.4342353617991
"Q8TC71","20260717_GZ_TH_17","Short exposure",11.3896084966042
"Q8TC71","20260717_GZ_TH_18","Short exposure",10.5075046823315
"Q8TC71","20260717_GZ_TH_19","Short exposure",12.6430001501838
"Q8TC71","20260717_GZ_TH_20","Short exposure",
"Q8TC71","20260717_GZ_TH_21","Long exposure",13.4234829628609
"Q8TC71","20260717_GZ_TH_22","Short exposure",13.8665847852474
