"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20251001_XZ_YC_32","Long exposure","Normal",,FALSE,"detected_protein_groups",2278
"20251001_XZ_YC_33","Long exposure","Normal",,FALSE,"detected_protein_groups",1970
"20251001_XZ_YC_34","Control","Normal",,FALSE,"detected_protein_groups",2481
"20251001_XZ_YD_1","Short exposure","Normal",,FALSE,"detected_protein_groups",2490
"20251001_XZ_YD_3","Control","Normal",,FALSE,"detected_protein_groups",2067
"20251001_XZ_YD_4","Control","Normal",,FALSE,"detected_protein_groups",1973
"20251001_XZ_YD_5","Short exposure","Normal",,FALSE,"detected_protein_groups",2920
"20251001_XZ_YD_6","Control","Normal",,FALSE,"detected_protein_groups",2157
"20251001_XZ_YD_7","Long exposure","Normal",,FALSE,"detected_protein_groups",3239
"20251001_XZ_YD_8","Long exposure","Normal",,FALSE,"detected_protein_groups",3037
"20251001_XZ_YD_9","Long exposure","Normal",,FALSE,"detected_protein_groups",1703
"20251001_XZ_YD_10","Long exposure","Normal",,FALSE,"detected_protein_groups",3329
"20251001_XZ_YD_11","Long exposure","Normal",,FALSE,"detected_protein_groups",3440
"20251001_XZ_YD_12","Control","Normal",,FALSE,"detected_protein_groups",3451
"20251001_XZ_YD_13","Control","Normal",,FALSE,"detected_protein_groups",3413
"20251001_XZ_YD_14","Control","Normal",,FALSE,"detected_protein_groups",2189
"20251001_XZ_YD_15","Short exposure","Normal",,FALSE,"detected_protein_groups",2362
