"Protein","GeneSymbol","GeneNames_UniProt","ProteinName","UniProt_mapped","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","Pattern_display","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P09326","CD48","CD48 BCM1 BLAST1","CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)",TRUE,8.3390928263218,145,153,8.42755236355156,180,186,8.04491028497055,165,176,0.0884595372297632,-0.382642078581014,-0.294182541351251,"Short_peak","Short-high profile",-0.382030297331022,0.0055795634154485,2,0.05
"P07359","GP1BA","GP1BA","Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin]",TRUE,17.2648594278436,153,153,17.3334445164098,186,186,17.0658287303656,176,176,0.0685850885662234,-0.267615786044171,-0.199030697477948,"Short_peak","Short-high profile",-0.272122274218855,0.0055795634154485,2,0.05
"Q13444","ADAM15","ADAM15 MDC15","Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)",TRUE,7.58068264741453,135,153,7.9621515900256,171,186,7.42839866791735,156,176,0.381468942611067,-0.533752922108248,-0.152283979497181,"Short_peak","Short-high profile",-0.458229327159033,0.00602766489305162,2,0.05
"P19256","CD58","CD58 LFA3","Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58)",TRUE,7.89876031883388,143,153,8.10266212993535,175,186,7.76857877458154,164,176,0.203901811101465,-0.334083355353806,-0.13018154425234,"Short_peak","Short-high profile",-0.30410409387196,0.00668058606099324,2,0.05
"P06734","FCER2","FCER2 CD23A CLEC4J FCE2 IGEBF","Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form]",TRUE,9.29204944234243,146,153,9.52278714698307,181,186,9.14667563078465,162,176,0.230737704640639,-0.376111516198423,-0.145373811557784,"Short_peak","Short-high profile",-0.374318015664242,0.00668058606099324,2,0.05
"Q6Q788","APOA5","APOA5 RAP3 UNQ411/PRO773","Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)",TRUE,12.4934910114632,153,153,12.635697430511,186,186,12.3349642315782,176,176,0.142206419047833,-0.300733198932777,-0.158526779884944,"Short_peak","Short-high profile",-0.293823111485372,0.0071113664990785,2,0.05
"P49641","MAN2A2","MAN2A2 MANA2X","Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)",TRUE,9.54231499654293,153,153,9.64501286765807,186,186,9.34579283481581,176,176,0.102697871115144,-0.299220032842255,-0.196522161727112,"Short_peak","Short-high profile",-0.288579745289779,0.0071113664990785,2,0.05
"Q6UVK1","CSPG4","CSPG4 MCSP","Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan)",TRUE,10.2464449903616,153,153,10.394238571492,186,186,10.1045984190305,176,176,0.147793581130424,-0.289640152461494,-0.141846571331071,"Short_peak","Short-high profile",-0.298144912410397,0.0071113664990785,2,0.05
"O75787","ATP6AP2","ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072","Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]",TRUE,9.80693490652615,153,153,10.1132395152442,186,186,9.68359429281107,176,176,0.306304608718053,-0.429645222433127,-0.123340613715074,"Short_peak","Short-high profile",-0.339441208497044,0.0071113664990785,2,0.05
"O60279","SUSD5","SUSD5 KIAA0527","Sushi domain-containing protein 5",TRUE,12.8694945020471,153,153,12.9901046773062,186,186,12.7304121330919,176,176,0.120610175259106,-0.259692544214243,-0.139082368955137,"Short_peak","Short-high profile",-0.260853453113453,0.0071113664990785,2,0.05
