"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"Q8NEH6",10.0581647535563,126,153,10.4183607914128,169,186,9.9774867741287,153,176,0.360196037856513,-0.440874017284099,-0.0806779794275858,"Short_peak",-0.345264693865811,0.0117488855678119,"2.0",0.05
"P39059",10.401786752934,153,153,10.4727250852123,186,186,10.1375133414583,176,176,0.0709383322783097,-0.335211743754037,-0.264273411475727,"Short_peak",-0.325688269257764,0.0117488855678119,"2.0",0.05
"P56715",10.5884145311002,148,153,10.8771679442495,184,186,10.5359024133591,171,176,0.288753413149282,-0.341265530890402,-0.0525121177411201,"Short_peak",-0.262508048857956,0.0117488855678119,"2.0",0.05
"Q02952",10.7517334141807,153,153,11.0539048548758,186,186,10.6979524759734,176,176,0.302171440695073,-0.355952378902362,-0.0537809382072894,"Short_peak",-0.311415554329919,0.0117488855678119,"2.0",0.05
"Q13740",9.93530798884567,153,153,10.2372572768082,186,186,9.91489410172638,176,176,0.301949287962543,-0.32236317508184,-0.0204138871192967,"Short_peak",-0.300347397989247,0.0117488855678119,"2.0",0.05
"P05019",9.1034048227687,150,153,9.32657267527072,183,186,9.0551397795351,170,176,0.223167852502025,-0.271432895735623,-0.0482650432335987,"Short_peak",-0.251856732076652,0.0117488855678119,"2.0",0.05
"P51888",7.70845369255529,147,153,7.86232849336503,183,186,7.52203947152679,168,176,0.153874800809744,-0.340289021838239,-0.186414221028495,"Short_peak",-0.326904262930632,0.0117488855678119,"2.0",0.05
"Q9HCU0",14.0987889207741,153,153,14.3760475268762,186,186,14.0491204353979,176,176,0.277258606102034,-0.326927091478282,-0.0496684853762481,"Short_peak",-0.279272956172186,0.0119538257566401,"2.0",0.05
"Q9NS73",13.1063721768736,148,153,13.3458996648424,184,186,12.9899428199858,173,176,0.239527487968726,-0.355956844856603,-0.116429356887878,"Short_peak",-0.295324205111617,0.0119560516364074,"2.0",0.05
"Q9Y274",9.55776827160435,153,153,9.66345602505649,186,186,9.35218529235775,176,176,0.105687753452141,-0.311270732698741,-0.2055829792466,"Short_peak",-0.249521480667884,0.0125208366748269,"2.0",0.05
"Q6UXD5",9.67538574995574,153,153,9.76442989582235,186,186,9.48147664433284,176,176,0.089044145866616,-0.282953251489513,-0.193909105622897,"Short_peak",-0.297185062055505,0.0128214829317591,"2.0",0.05
"Q6UWD8",7.1403998879337,130,153,7.41024567911173,158,186,7.06701431576734,144,176,0.269845791178024,-0.343231363344383,-0.0733855721663597,"Short_peak",-0.303080047197466,0.0128464692677272,"2.0",0.05
