"Model","UniqueSampleID","Included","Environment_raw","Acquisition_raw","Age_raw","Sex_raw"
"Primary","20260527_XZ_GG_26",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_27",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_28",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_29",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_30",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_31",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_32",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_33",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_34",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_35",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_36",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_37",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_38",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_39",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_40",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_41",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_42",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_43",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_44",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_46",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_47",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_50",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_51",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_52",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_53",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_55",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_56",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_59",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_60",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_62",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_64",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_65",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_66",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_68",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_69",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_71",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_72",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_73",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_74",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_75",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_76",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_77",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_78",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_79",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_80",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_81",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_82",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_83",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_84",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_85",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_86",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_87",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_88",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_89",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_92",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_93",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_94",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_95",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_96",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_97",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_98",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_99",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_100",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_101",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_102",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_103",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_104",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_105",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_106",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_121",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_122",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_123",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_124",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_125",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_126",TRUE,"高海拔","20260527",,
"Primary","20260527_XZ_GG_128",TRUE,"高海拔","20260527",,
