PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
Q9NR12,0.22857142857142856,0.9615384615384616,0.3442622950819672,0.45528455284552843,0.5104895104895105,0.6818181818181818,0.75,0.7352941176470589,0.8214285714285714
Q9NR28,0.2,0.15384615384615385,0.11475409836065574,0.16260162601626016,0.08391608391608392,0.5,0.3333333333333333,0.2647058823529412,0.5
Q9NR30,0.12857142857142856,0.2692307692307692,0.04918032786885246,0.08130081300813008,0.15384615384615385,0.13636363636363635,0.3333333333333333,0.2647058823529412,0.07142857142857142
Q9NR31,0.32857142857142857,0.8846153846153846,0.2786885245901639,0.5772357723577236,0.5734265734265734,0.6363636363636364,0.8333333333333334,0.6470588235294118,0.8928571428571429
Q9NR34,0.9285714285714286,1.0,0.9672131147540983,0.8699186991869918,0.8461538461538461,0.9090909090909091,1.0,1.0,1.0
Q9NR45,0.5285714285714286,1.0,0.7213114754098361,0.2764227642276423,0.4825174825174825,0.5,0.8333333333333334,0.5588235294117647,0.4642857142857143
Q9NR46,0.6142857142857143,0.9615384615384616,0.8524590163934426,0.25203252032520324,0.5454545454545454,0.7272727272727273,1.0,0.7352941176470589,0.6071428571428571
Q9NR50,0.11428571428571428,0.3076923076923077,0.21311475409836064,0.12195121951219512,0.16783216783216784,0.09090909090909091,0.08333333333333333,0.08823529411764706,0.32142857142857145
Q9NR56,0.02857142857142857,0.19230769230769232,0.01639344262295082,0.056910569105691054,0.06993006993006994,0.18181818181818182,0.16666666666666666,0.17647058823529413,0.32142857142857145
Q9NR99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NRA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NRB3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NRF8,0.07142857142857142,0.5769230769230769,0.16393442622950818,0.2032520325203252,0.25874125874125875,0.2727272727272727,0.08333333333333333,0.23529411764705882,0.39285714285714285
Q9NRG9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
Q9NRL3,0.04285714285714286,0.11538461538461539,0.08196721311475409,0.08130081300813008,0.13986013986013987,0.3181818181818182,0.25,0.23529411764705882,0.35714285714285715
Q9NRN5,0.7,0.7692307692307693,0.7377049180327869,0.34959349593495936,0.32867132867132864,0.8181818181818182,0.75,0.8529411764705882,0.75
Q9NRV9,0.6857142857142857,0.8846153846153846,0.9016393442622951,0.21138211382113822,0.5594405594405595,0.7727272727272727,0.9166666666666666,0.7941176470588235,0.8571428571428571
Q9NRW1,0.9571428571428572,1.0,1.0,0.967479674796748,0.993006993006993,1.0,1.0,1.0,1.0
Q9NRW7,0.3142857142857143,0.7692307692307693,0.2459016393442623,0.3821138211382114,0.3146853146853147,0.6363636363636364,0.8333333333333334,0.5882352941176471,0.6428571428571429
Q9NRX4,0.11428571428571428,0.5384615384615384,0.2786885245901639,0.04878048780487805,0.08391608391608392,0.13636363636363635,0.4166666666666667,0.058823529411764705,0.35714285714285715
Q9NRY5,0.9428571428571428,1.0,0.9672131147540983,0.8861788617886179,0.9370629370629371,0.9545454545454546,1.0,0.9117647058823529,0.9642857142857143
Q9NRZ7,0.0,0.11538461538461539,0.01639344262295082,0.032520325203252036,0.04895104895104895,0.0,0.0,0.058823529411764705,0.14285714285714285
Q9NS28,0.2714285714285714,0.8076923076923077,0.4098360655737705,0.2682926829268293,0.2517482517482518,0.5909090909090909,0.8333333333333334,0.4117647058823529,0.5
Q9NS62,0.9857142857142858,1.0,1.0,1.0,0.986013986013986,1.0,1.0,1.0,1.0
