PG.ProteinGroups,control_ge50pct,low_ge50pct,high_ge50pct,all_doses_ge50pct,control_ge60pct,low_ge60pct,high_ge60pct,all_doses_ge60pct,control_ge70pct,low_ge70pct,high_ge70pct,all_doses_ge70pct,control_ge80pct,low_ge80pct,high_ge80pct,all_doses_ge80pct
O14976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14979,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
O14980,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
O14983,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
O15013;Q9HCE6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15031,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15075,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15084,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
O15111,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O15116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15117,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O15118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15143,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15144,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15145,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15204,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15230,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15260,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15335,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15357,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15371,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15389,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O15400,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
