UniqueSampleID,PC1,PC2,PC1_variance_pct,PC2_variance_pct,TREAT1_clean,condition,group,MS_batch_proxy
20251001_XZ_YB_2,-11.188604983288318,-3.1449669460414187,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_4,-28.83921376784074,1.1645959214322195,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_6,-14.705040176833098,-0.8318459637270562,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_9,-15.488365655754727,-0.9519715337407892,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_10,-14.296151176201075,-4.893667563541065,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_11,-16.731042028320317,-0.5827865457467973,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_12,-5.459959656073743,-3.1111994119186015,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_14,-12.9834497374769,6.873866490355862,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_15,-4.504103940363247,-1.2106600485704324,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YB_19,-13.58250191458416,-3.706843702342019,36.52557777647658,17.885082631321747,control,high_stress,XZ_YB,20251001
20251001_XZ_YC_1,-11.644994963316995,5.770062149217622,36.52557777647658,17.885082631321747,control,high_stress,XZ_YC,20251001
20251001_XZ_YC_2,-21.975739741799206,7.580023211367409,36.52557777647658,17.885082631321747,control,high_stress,XZ_YC,20251001
20251001_XZ_YC_3,-19.855138197802823,0.7008677353243387,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_4,-21.834242733662638,9.538266139581776,36.52557777647658,17.885082631321747,control,high_stress,XZ_YC,20251001
20251001_XZ_YC_5,-3.610049659777257,2.3298383069915762,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_6,-12.901413474020538,18.30243614671459,36.52557777647658,17.885082631321747,low,high_stress,XZ_YC,20251001
20251001_XZ_YC_7,-17.16316928707552,10.723084991790934,36.52557777647658,17.885082631321747,low,high_stress,XZ_YC,20251001
20251001_XZ_YC_8,-7.915509652818146,2.1933882051709936,36.52557777647658,17.885082631321747,control,high_stress,XZ_YC,20251001
20251001_XZ_YC_9,6.537644037378176,26.954146982911745,36.52557777647658,17.885082631321747,low,high_stress,XZ_YC,20251001
20251001_XZ_YC_10,-17.488288609308285,-1.4763895944095813,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_11,-1.023562902302239,15.94531257886794,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_12,-20.18626714945667,0.8389872617086017,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_13,-11.56614090466144,10.440679635039597,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_14,-11.700000955102343,15.346849147908642,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_15,-16.013414998969417,4.714018494814922,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_16,-21.03776063415437,7.795202794971246,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_17,-15.124265851919548,6.686827104395438,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_18,-16.051040449204855,18.45413759024663,36.52557777647658,17.885082631321747,low,high_stress,XZ_YC,20251001
20251001_XZ_YC_19,-10.744100218252568,3.9817336439400166,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_20,-18.885515765187282,12.506187351599154,36.52557777647658,17.885082631321747,low,high_stress,XZ_YC,20251001
20251001_XZ_YC_21,-9.285857475236243,9.670564393541715,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
20251001_XZ_YC_22,-7.342481464104145,2.601218826731213,36.52557777647658,17.885082631321747,high,high_stress,XZ_YC,20251001
