PG.ProteinGroups,control,high,low,unknown
O00151,0.9411764705882353,0.9431818181818182,0.9516129032258065,1.0
O00154,0.6405228758169934,0.5625,0.5752688172043011,0.5
O00159,0.6862745098039216,0.6988636363636364,0.7419354838709677,0.75
O00160,0.5098039215686274,0.5568181818181818,0.6182795698924731,1.0
O00161,0.803921568627451,0.7386363636363636,0.7634408602150538,1.0
O00170,0.13071895424836602,0.16477272727272727,0.14516129032258066,0.25
O00175,0.1895424836601307,0.11931818181818182,0.1935483870967742,0.5
O00186,0.869281045751634,0.7954545454545454,0.8763440860215054,1.0
O00187,1.0,1.0,1.0,1.0
O00194,0.9084967320261438,0.9090909090909091,0.9408602150537635,1.0
O00203,0.5424836601307189,0.5340909090909091,0.5967741935483871,0.25
O00204,0.10457516339869281,0.10795454545454546,0.16129032258064516,0.25
O00231,0.9411764705882353,0.9034090909090909,0.9193548387096774,1.0
O00232,0.8758169934640523,0.8352272727272727,0.8655913978494624,0.75
O00233,0.7843137254901961,0.6818181818181818,0.7580645161290323,1.0
O00241,0.1437908496732026,0.17045454545454544,0.15591397849462366,0.0
O00244,0.1568627450980392,0.18181818181818182,0.14516129032258066,0.0
O00253,0.006535947712418301,0.0,0.005376344086021506,0.0
O00264,0.9215686274509803,0.8409090909090909,0.946236559139785,1.0
O00292;O75610,0.11764705882352941,0.17045454545454544,0.12903225806451613,0.0
O00299,1.0,1.0,1.0,1.0
O00303,0.3464052287581699,0.2556818181818182,0.34946236559139787,0.5
O00339,0.9281045751633987,0.8977272727272727,0.9301075268817204,1.0
O00391,1.0,1.0,1.0,1.0
O00410,0.8496732026143791,0.7670454545454546,0.8064516129032258,0.75
O00429,0.8627450980392157,0.7954545454545454,0.8064516129032258,1.0
O00442,0.38562091503267976,0.36363636363636365,0.4032258064516129,0.25
O00453,0.22875816993464052,0.2159090909090909,0.1989247311827957,0.25
O00461,1.0,1.0,1.0,1.0
O00468,1.0,1.0,1.0,1.0
