UniqueSampleID,group,condition,detected_protein_groups
20250914_FJ_FQ_F131,FJ_FQ,湿热,1863
20250914_FJ_FQ_F135,FJ_FQ,湿热,1851
20250914_FJ_FQ_F137,FJ_FQ,湿热,2302
20250914_FJ_PT_P2,FJ_PT,湿热,2717
20250914_FJ_PT_P3,FJ_PT,湿热,2830
20250914_FJ_PT_P4,FJ_PT,湿热,3106
20250914_FJ_PT_P6,FJ_PT,湿热,2898
20250914_FJ_PT_P7,FJ_PT,湿热,3059
20250914_FJ_PT_P8,FJ_PT,湿热,2785
20250914_FJ_PT_P9,FJ_PT,湿热,2866
20250914_FJ_PT_P10,FJ_PT,湿热,2723
20250914_FJ_PT_P11,FJ_PT,湿热,2938
20250914_FJ_PT_P13,FJ_PT,湿热,2525
20250914_FJ_PT_P15,FJ_PT,湿热,2659
20250914_FJ_PT_P17,FJ_PT,湿热,2750
20250914_FJ_PT_P18,FJ_PT,湿热,2493
20250914_FJ_PT_P19,FJ_PT,湿热,2530
20250914_FJ_PT_P20,FJ_PT,湿热,2445
20250914_FJ_PT_P21,FJ_PT,湿热,2641
20250914_FJ_PT_P22,FJ_PT,湿热,2159
20250914_FJ_PT_P23,FJ_PT,湿热,2559
20250914_FJ_PT_P24,FJ_PT,湿热,2794
20250914_FJ_PT_P25,FJ_PT,湿热,2286
20250914_FJ_PT_P26,FJ_PT,湿热,2645
20250914_FJ_PT_P27,FJ_PT,湿热,2507
20250914_FJ_PT_P29,FJ_PT,湿热,2403
20250914_FJ_PT_P30,FJ_PT,湿热,2572
20250914_FJ_PT_P33,FJ_PT,湿热,2782
20251001_FJ_FQ_F83,FJ_FQ,湿热,1934
20251001_FJ_FQ_F95,FJ_FQ,湿热,1525
20251001_FJ_FQ_F97,FJ_FQ,湿热,1951
20251001_FJ_FQ_F105,FJ_FQ,湿热,1463
20251001_FJ_FQ_F120,FJ_FQ,湿热,1939
20251001_FJ_FQ_F136,FJ_FQ,湿热,1978
20251001_FJ_FQ_F141,FJ_FQ,湿热,2198
20251001_FJ_FQ_F147,FJ_FQ,湿热,1756
20251001_FJ_FQ_F150,FJ_FQ,湿热,2126
20251001_FJ_FQ_F154,FJ_FQ,湿热,2197
20251001_FJ_FQ_F158,FJ_FQ,湿热,1490
20251001_FJ_FQ_F163,FJ_FQ,湿热,1766
20251001_FJ_FQ_F165,FJ_FQ,湿热,1882
20251001_FJ_FQ_F168,FJ_FQ,湿热,1973
20251001_FJ_FQ_F170,FJ_FQ,湿热,2167
20251001_FJ_FQ_F173,FJ_FQ,湿热,2215
