"Metric","Level","N_pairs","Median","Q25","Q75","Variable","Spearman_rho"
"log2_median","XZ_GG",142,9.22494142585535,9.09320193610014,9.36825622079381,"Cohort_group",
"log2_median","XZ_YA",22,9.66577491232269,9.32240913779052,10.1143082836112,"Cohort_group",
"log2_median","XZ_YB",10,9.79319022869574,9.65423342262907,9.86576597021422,"Cohort_group",
"log2_median","XZ_YC",34,9.5006232919665,9.26251230865335,9.77293281954096,"Cohort_group",
"log2_median","XZ_YD",28,9.50805885255193,9.26611393093591,10.0394050968666,"Cohort_group",
"missing_pct","FJ_FQ",69,45.8999214042442,41.9701336127849,51.1134398742468,"Cohort_group",
"missing_pct","FJ_PT",26,30.5213518470003,26.860099554624,34.2022530783338,"Cohort_group",
"missing_pct","FJ_QZ",61,44.2756091171077,40.8959916164527,47.0002619858528,"Cohort_group",
"missing_pct","GZ_TH",123,51.8993974325386,46.9871626932146,57.0736180246267,"Cohort_group",
"missing_pct","XZ_GG",142,50.4060780717841,42.9525805606497,55.2724652868745,"Cohort_group",
"missing_pct","XZ_YA",22,38.5512182342154,30.3183128111082,44.9698716269321,"Cohort_group",
"missing_pct","XZ_YB",10,34.6083311501179,32.2832067068378,38.8459523185748,"Cohort_group",
"missing_pct","XZ_YC",34,39.7956510348441,35.0275085145402,45.159811370186,"Cohort_group",
"missing_pct","XZ_YD",28,38.6822111605973,22.7338223735918,45.2187581870579,"Cohort_group",
"PC1","Insufficient",44,-11.8367061200503,-16.2454471468041,-6.87633406492878,"Tube_Mixing",
"PC1","Normal",206,-12.1990678197215,-16.1656571970436,-6.26798451683189,"Tube_Mixing",
"PC1","Unknown",265,8.83768881139554,0.779948458166691,20.9449820667812,"Tube_Mixing",
"PC2","Insufficient",44,1.12207645238932,-2.4954716565208,6.68177415578335,"Tube_Mixing",
"PC2","Normal",206,1.00179159157041,-4.09285145135068,10.1349487735446,"Tube_Mixing",
"PC2","Unknown",265,-5.41119435479766,-8.72324001617887,-1.46711021575137,"Tube_Mixing",
"UMAP1","Insufficient",44,1.00811428764148,0.751126730826331,1.52548892238421,"Tube_Mixing",
"UMAP1","Normal",206,3.19467375614924,0.517806934204531,4.93953714707179,"Tube_Mixing",
"UMAP1","Unknown",265,4.15289483406825,-10.7607983555527,5.05522117951198,"Tube_Mixing",
"UMAP2","Insufficient",44,1.69478318543689,1.06679830403583,2.09253046365039,"Tube_Mixing",
"UMAP2","Normal",206,1.88166758866565,1.1902592823054,2.92535904498355,"Tube_Mixing",
"UMAP2","Unknown",265,-7.84535195975049,-9.42741611151441,6.42313597054736,"Tube_Mixing",
"detected_protein_groups","Insufficient",44,2101,1865.25,2228.5,"Tube_Mixing",
"detected_protein_groups","Normal",206,2251.5,2058,2559.75,"Tube_Mixing",
"detected_protein_groups","Unknown",265,1882,1676,2086,"Tube_Mixing",
"log2_median","Insufficient",44,9.51720628266867,9.24846233077656,9.69597095184616,"Tube_Mixing",
"log2_median","Normal",206,9.57130108687549,9.22989641988478,9.81454130114687,"Tube_Mixing",
"log2_median","Unknown",265,9.02039775933232,8.41208097086763,9.26639404484083,"Tube_Mixing",
"missing_pct","Insufficient",44,44.9567723342939,41.6164527115536,51.1330888132041,"Tube_Mixing",
"missing_pct","Normal",206,41.0138852501965,32.9381713387477,46.0833115011789,"Tube_Mixing",
"missing_pct","Unknown",265,50.6942625098245,45.3497511134399,56.0911710767619,"Tube_Mixing",
"PC1","[Numeric values]",130,,,,"WoleBlood_oldTime",-0.172306881469085
"PC2","[Numeric values]",130,,,,"WoleBlood_oldTime",0.47831075916746
"UMAP1","[Numeric values]",130,,,,"WoleBlood_oldTime",0.602766027546798
"UMAP2","[Numeric values]",130,,,,"WoleBlood_oldTime",0.365767051128057
"detected_protein_groups","[Numeric values]",130,,,,"WoleBlood_oldTime",-0.196953909689309
"log2_median","[Numeric values]",130,,,,"WoleBlood_oldTime",0.151769708469194
"missing_pct","[Numeric values]",130,,,,"WoleBlood_oldTime",0.196953909689309
"PC1","4h",94,-13.2072434748705,-17.500639564338,-7.3908026163628,"Plasma_HoldTime_h",
"PC1","Unknown",421,1.27657548063575,-8.20364318637315,14.7069931351731,"Plasma_HoldTime_h",
"PC2","4h",94,7.68761300316933,0.281470375602191,15.8582737262047,"Plasma_HoldTime_h",
"PC2","Unknown",421,-4.15283747611182,-7.57183090190823,1.27771288250375,"Plasma_HoldTime_h",
"UMAP1","4h",94,5.03586397507472,4.41019747593684,5.43981371262355,"Plasma_HoldTime_h",
"UMAP1","Unknown",421,0.912173489120436,-10.1770352329941,4.63216457703395,"Plasma_HoldTime_h",
"UMAP2","4h",94,2.49908349366443,1.35193303675906,3.10362074227588,"Plasma_HoldTime_h",
"UMAP2","Unknown",421,1.50704071374194,-8.76887443213208,5.86070988030688,"Plasma_HoldTime_h",
"detected_protein_groups","4h",94,2342,2117.75,2666,"Plasma_HoldTime_h",
"detected_protein_groups","Unknown",421,1987,1755,2215,"Plasma_HoldTime_h",
"log2_median","4h",94,9.61906158694081,9.27749325642513,9.88719708636855,"Plasma_HoldTime_h",
"log2_median","Unknown",421,9.1882289941242,8.63875893072825,9.50655479786704,"Plasma_HoldTime_h",
"missing_pct","4h",94,38.6429132826827,30.1545716531307,44.5179460309143,"Plasma_HoldTime_h",
"missing_pct","Unknown",421,47.943411055803,41.9701336127849,54.0214828399266,"Plasma_HoldTime_h",
