"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"P04632","Low_vs_Control",0.14913685604431,9.04059286069673,1.35151801236756,0.177119930336046,0.485697310847791,-5.11834535754151,FALSE,0.110347664388915,517.586669375703,0.365921228576532,-0.0676475164879119,"moderated_fit_95pct_CI","Not significant",907
"Q15911","Low_vs_Control",0.149269534259602,10.3802555256637,1.58346879721734,0.114025707886417,0.390741559469681,-4.71171777015013,FALSE,0.0942674301646593,444.586669375703,0.334534652998756,-0.0359955844795524,"moderated_fit_95pct_CI","Not significant",908
"Q14956","Low_vs_Control",0.14936048425704,8.13264599466575,1.46465861815174,0.143646862403045,0.44586493654971,-4.95560988555973,FALSE,0.101976312026565,496.586669375703,0.349718709025488,-0.0509977405114076,"moderated_fit_95pct_CI","Not significant",909
"P36955","Low_vs_Control",0.149571960495729,12.433505351928,1.29344271887569,0.196433816952638,0.511227029963854,-5.19063054308883,FALSE,0.115638642757789,518.586669375703,0.376749739488768,-0.0776058184973097,"moderated_fit_95pct_CI","Not significant",910
"P01042","Low_vs_Control",0.149943176269284,15.4118958099664,0.953356531865212,0.340853607239427,0.65785204950382,-5.5482042230474,FALSE,0.157279224778504,518.586669375703,0.458925918671118,-0.15903956613255,"moderated_fit_95pct_CI","Not significant",911
"Q86TH1","Low_vs_Control",0.150225754776377,9.02453794597641,1.37730225220505,0.169012979265838,0.473882809789906,-5.08592773545533,FALSE,0.109072467235036,518.586669375703,0.364503960269043,-0.0640524507162892,"moderated_fit_95pct_CI","Not significant",912
"Q9Y625","Low_vs_Control",0.150399162345435,8.46083034028952,1.58267160629271,0.114125377594335,0.390741559469681,-4.79127892874895,FALSE,0.0950286602397156,502.586669375703,0.337101524715614,-0.0363032000247437,"moderated_fit_95pct_CI","Not significant",913
"P0DOX2","Low_vs_Control",0.15048504957179,15.3709035027304,1.03710404153167,0.30017070539062,0.614358176298975,-5.47014878897842,FALSE,0.145101208312276,518.586669375703,0.435543482008025,-0.134573382864445,"moderated_fit_95pct_CI","Not significant",914
"O95445","Low_vs_Control",0.150638938549021,13.7308689348061,2.28213773661704,0.0228853864162263,0.205110275755428,-3.54354288127621,FALSE,0.0660078207077554,518.586669375703,0.280314536142876,0.020963340955166,"moderated_fit_95pct_CI","Not significant",915
"O43157","Low_vs_Control",0.151279653757323,12.5580045037599,1.93720996802055,0.0532623764575296,0.294896709807326,-4.2201870773413,FALSE,0.0780915111189009,518.586669375703,0.304694253160403,-0.00213494564575742,"moderated_fit_95pct_CI","Not significant",916
"P06858","Low_vs_Control",0.151477686366629,10.2916095332125,1.62078513501184,0.105671574191134,0.378832593475214,-4.74499944154975,FALSE,0.0934594494325264,518.586669375703,0.335083353483156,-0.032127980749898,"moderated_fit_95pct_CI","Not significant",917
"Q86SG5","Low_vs_Control",0.151522838971221,7.82883394835913,0.877896828643647,0.38047710119165,0.698876001885396,-5.53069520491232,FALSE,0.17259754680436,441.586669375703,0.49073753837109,-0.187691860428648,"moderated_fit_95pct_CI","Not significant",918
"O15204","Low_vs_Control",0.151548091378384,9.79362198276776,1.55188925876886,0.121298758945478,0.402992159374591,-4.84703281776952,FALSE,0.0976539340820038,518.586669375703,0.343394029082353,-0.0402978463255846,"moderated_fit_95pct_CI","Not significant",919
"P13645","Low_vs_Control",0.151609710770456,14.3720868518528,1.20767452838014,0.227722963840711,0.543352296418601,-5.29095998996628,FALSE,0.125538551329563,518.586669375703,0.398236345162814,-0.0950169236219019,"moderated_fit_95pct_CI","Not significant",920
"P07477","Low_vs_Control",0.151661014560453,11.7153669213911,1.212103803697,0.226031051582053,0.540214213281107,-5.28127776667884,FALSE,0.125122134010203,512.586669375703,0.397476307520377,-0.0941542783994714,"moderated_fit_95pct_CI","Not significant",921
"Q9UBS9","Low_vs_Control",0.151799770817794,7.97251842963129,1.52078547749772,0.128937574779443,0.417215921827599,-4.8852045625304,FALSE,0.0998166888518447,506.586669375703,0.34790541274882,-0.0443058711132325,"moderated_fit_95pct_CI","Not significant",922
