"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"P06734",9.29204944234243,9.52278714698307,9.14667563078465,"Low_peak",-0.374318015664242,0.00668058606099324
"Q6Q788",12.4934910114632,12.635697430511,12.3349642315782,"Low_peak",-0.293823111485372,0.0071113664990785
"P49641",9.54231499654293,9.64501286765807,9.34579283481581,"Low_peak",-0.288579745289779,0.0071113664990785
"Q6UVK1",10.2464449903616,10.394238571492,10.1045984190305,"Low_peak",-0.298144912410397,0.0071113664990785
"O75787",9.80693490652615,10.1132395152442,9.68359429281107,"Low_peak",-0.339441208497044,0.0071113664990785
"O60279",12.8694945020471,12.9901046773062,12.7304121330919,"Low_peak",-0.260853453113453,0.0071113664990785
"O94985",10.9852662548257,11.1080784560807,10.8124056901986,"Low_peak",-0.266971332514078,0.0071113664990785
"P14314",12.3090917157221,12.5148020738327,12.2539318476691,"Low_peak",-0.233194681339732,0.00720715375774807
"P10451",12.3294621358848,12.4493997616323,12.1535971401901,"Low_peak",-0.295592210078141,0.00720715375774807
"Q9HCM3",9.57780906356733,9.73832158451309,9.44296388322296,"Low_peak",-0.261616201315963,0.00746872858500086
"O15466",9.25578151457682,9.43020586965341,9.10203195532345,"Low_peak",-0.305638253385021,0.00759083958367728
"Q9NQ79",12.3472245020541,12.5858660502807,12.3096912935678,"Low_peak",-0.285547015445275,0.00759083958367728
"P40967",11.9396913009873,12.1195393266633,11.8185940439014,"Low_peak",-0.321025098420263,0.00759083958367728
"Q12797",9.3620403355516,9.47029821112433,9.16458429643666,"Low_peak",-0.266443501051951,0.00759083958367728
"Q9BUD6",8.29965814382221,8.51761942631103,8.07481286119926,"Low_peak",-0.397306702209899,0.00759083958367728
"Q9BRK5",9.50145827597568,9.70690621520046,9.32881703155688,"Low_peak",-0.352007245233523,0.00759083958367728
"P09619",9.9150313413001,10.3011101659468,9.90983692290465,"Low_peak",-0.348245667087998,0.00759083958367728
"Q8WWA0",11.2786135661756,11.544678662086,11.1438104913457,"Low_peak",-0.344883563722574,0.00759083958367728
"Q14517",10.1598487440845,10.3494038772109,9.96614500589577,"Low_peak",-0.36159708067219,0.00759083958367728
"P55290",10.5003543160375,10.8245791583233,10.4785467766616,"Low_peak",-0.285866949942312,0.00759083958367728
"P05154",11.1417604494653,11.2009299988961,10.974614495839,"Low_peak",-0.251864091241194,0.00759083958367728
"P13942",9.12691285521196,9.28421024019426,8.92294829931435,"Low_peak",-0.333771095662177,0.00811796949611128
"Q9BV94",9.54201652124175,9.68979740798999,9.33613024829168,"Low_peak",-0.330906483518373,0.00911250129352759
"P27797",11.9950973535055,12.0861085003532,11.8345957352029,"Low_peak",-0.243937020258299,0.00911250129352759
"Q9Y5X9",8.09864112717388,8.53269163475148,8.22439789682441,"Low_peak",-0.276639887532323,0.00915898627091017
"O43157",12.5096912198974,12.7299476560843,12.4182914702292,"Low_peak",-0.26125899060035,0.00937302708811528
"P12109",9.33449488513565,9.66031073075147,9.30567799194544,"Low_peak",-0.278703927251083,0.00942484621013016
"P23471",11.4870876870806,11.7236537667008,11.407543809325,"Low_peak",-0.269196109156308,0.00965762177494127
"Q14393",9.05618743491456,9.35674518519037,8.99631102638825,"Low_peak",-0.423813894355977,0.0103300960643479
"Q9BY76",7.93639783548556,8.3253154059897,7.84328896166207,"Low_peak",-0.392981085620209,0.0104349010104512
"Q08431",6.99009836209297,7.27760634249825,6.89617422796699,"Low_peak",-0.322704376708656,0.0104349010104512
