"PG.ProteinGroups","Contrast","Detection_pattern","Restricted_candidate_60_or_70","Control_detection_rate","Short_detection_rate","Long_detection_rate","In_detection_analysis_universe","Primary_logOR","Primary_OR","Primary_SE","Primary_P","Primary_FDR","Primary_Model_status","Primary_N_samples","Acquisition_adjusted_logOR","Acquisition_adjusted_OR","Acquisition_adjusted_SE","Acquisition_adjusted_P","Acquisition_adjusted_FDR","Acquisition_adjusted_Model_status","Acquisition_adjusted_N_samples","Acquisition_matched_primary_logOR","Acquisition_matched_primary_OR","Acquisition_matched_primary_SE","Acquisition_matched_primary_P","Acquisition_matched_primary_FDR","Acquisition_matched_primary_Model_status","Acquisition_matched_primary_N_samples","Age_sex_logOR","Age_sex_OR","Age_sex_SE","Age_sex_P","Age_sex_FDR","Age_sex_Model_status","Age_sex_N_samples","Direction_concordant","Acquisition_sensitive","Model_status"
"A0A087WSX0","Low_vs_Control","Broad_detection",FALSE,0.993464052287582,0.983870967741935,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
"A0A087WSX0","High_vs_Control","Broad_detection",FALSE,0.993464052287582,0.983870967741935,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
"A0A087WSX0","High_vs_Low","Broad_detection",FALSE,0.993464052287582,0.983870967741935,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
"A0A087WSY4","Low_vs_Control","Other_unbalanced",FALSE,0.627450980392157,0.661290322580645,0.721590909090909,TRUE,0.184069928010069,1.20209988060984,0.230779617634031,0.425102386960709,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.184069928010069,1.20209988060984,0.230779617634031,0.425102386960709,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A087WSY4","High_vs_Control","Other_unbalanced",FALSE,0.627450980392157,0.661290322580645,0.721590909090909,TRUE,0.441769552195312,1.55545724742078,0.237670871986657,0.0630632873784412,0.677415117534552,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.441769552195312,1.55545724742078,0.237670871986657,0.0630632873784412,0.677415117534552,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A087WSY4","High_vs_Low","Other_unbalanced",FALSE,0.627450980392157,0.661290322580645,0.721590909090909,TRUE,0.257699624185243,1.29395008893244,0.230095668041134,0.262727696863703,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.257699624185243,1.29395008893244,0.230095668041134,0.262727696863703,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A087WSY6","Low_vs_Control","Broad_detection",FALSE,0.725490196078431,0.747311827956989,0.761363636363636,TRUE,0.150804855004411,1.16276972724704,0.250533624471022,0.547217677060735,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.150804855004411,1.16276972724704,0.250533624471022,0.547217677060735,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A087WSY6","High_vs_Control","Broad_detection",FALSE,0.725490196078431,0.747311827956989,0.761363636363636,TRUE,0.199052376008448,1.22024587583449,0.253663196751641,0.432622857966908,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.199052376008448,1.22024587583449,0.253663196751641,0.432622857966908,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A087WSY6","High_vs_Low","Broad_detection",FALSE,0.725490196078431,0.747311827956989,0.761363636363636,TRUE,0.0482475210040366,1.04943037924072,0.246060692124578,0.844547739371927,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.0482475210040366,1.04943037924072,0.246060692124578,0.844547739371927,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0A0MRZ8;P04433","Low_vs_Control","Broad_detection",FALSE,0.993464052287582,0.994623655913978,0.988636363636364,TRUE,0.235298371238126,1.26528623743844,1.42957676125724,0.869264317379796,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.235298371238126,1.26528623743844,1.42957676125724,0.869264317379796,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0A0MRZ8;P04433","High_vs_Control","Broad_detection",FALSE,0.993464052287582,0.994623655913978,0.988636363636364,TRUE,-0.547430868994667,0.578433975718105,1.23078799115955,0.656478169941844,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.547430868994667,0.578433975718105,1.23078799115955,0.656478169941844,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0A0MRZ8;P04433","High_vs_Low","Broad_detection",FALSE,0.993464052287582,0.994623655913978,0.988636363636364,TRUE,-0.782729240232793,0.457156616900489,1.23609688777515,0.526585777523726,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.782729240232793,0.457156616900489,1.23609688777515,0.526585777523726,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A0A0MS15","Low_vs_Control","Broad_detection",FALSE,0.993464052287582,0.989247311827957,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
"A0A0A0MS15","High_vs_Control","Broad_detection",FALSE,0.993464052287582,0.989247311827957,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
"A0A0A0MS15","High_vs_Low","Broad_detection",FALSE,0.993464052287582,0.989247311827957,1,TRUE,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"separation_nonfinite_MLE",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:separation_nonfinite_MLE; Acquisition:separation_nonfinite_MLE"
