"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","minus_log10_fdr","Status"
"Q9BXR6","High_vs_Control",0.0318162472621601,9.66104560175177,0.284431304367344,0.776193849735953,0.943528999864916,-5.55635935718999,FALSE,0.0252447470223588,"Not significant"
"O43505","High_vs_Control",-0.0302584459456199,6.92739931445802,-0.284194473791306,0.776404616346305,0.943528999864916,-5.4553758119332,FALSE,0.0252447470223588,"Not significant"
"O95714","High_vs_Control",0.109571132883501,10.0526848703015,0.281529059874577,0.778451850048768,0.944590781079402,-5.41499040102827,FALSE,0.0247562973215487,"Not significant"
"Q13404","High_vs_Control",0.0433791782932413,7.46645275315594,0.279808171398117,0.779778305662294,0.944590781079402,-5.43691527528967,FALSE,0.0247562973215487,"Not significant"
"P21730","High_vs_Control",-0.0307843851523586,7.49316858795734,-0.279609186101316,0.779916800040504,0.944590781079402,-5.45419216131142,FALSE,0.0247562973215487,"Not significant"
"P30085","High_vs_Control",-0.047349805638607,7.35870269773279,-0.279223211335253,0.780221699576602,0.944590781079402,-5.42996422087993,FALSE,0.0247562973215487,"Not significant"
"Q04760","High_vs_Control",-0.0398019868717459,8.11450244942422,-0.27762149270011,0.781424337272958,0.944590781079402,-5.52106864283845,FALSE,0.0247562973215487,"Not significant"
"P61981","High_vs_Control",0.0406454510949832,7.59094897029432,0.277187795699692,0.781757113683629,0.944590781079402,-5.52054940248187,FALSE,0.0247562973215487,"Not significant"
"Q14696","High_vs_Control",-0.0569149404550719,7.77963037821342,-0.277045776082875,0.781889300656381,0.944590781079402,-5.4331924840069,FALSE,0.0247562973215487,"Not significant"
"P22891","High_vs_Control",-0.0313627635507583,14.7352282588151,-0.273628127538648,0.784479360938424,0.946922056890319,-5.56259548540965,FALSE,0.0236857672010994,"Not significant"
"P14618","High_vs_Control",0.0351474720560976,9.90762554767167,0.272446677105936,0.785387030825725,0.947122461161235,-5.56287489295453,FALSE,0.0235938639026247,"Not significant"
"Q9UL46","High_vs_Control",-0.0291161586867243,7.71556122699062,-0.271468221732876,0.786141308407153,0.947122461161235,-5.55544798261381,FALSE,0.0235938639026247,"Not significant"
"P04156","High_vs_Control",-0.0372408583216686,6.53524036560622,-0.270595910112811,0.786832103863975,0.947122461161235,-5.4611776884356,FALSE,0.0235938639026247,"Not significant"
"P40227","High_vs_Control",0.040525000207297,7.60400439812665,0.269987420549844,0.787287289891347,0.947122461161235,-5.53564669834409,FALSE,0.0235938639026247,"Not significant"
"Q9HDC9","High_vs_Control",0.0283374045088074,13.598423170542,0.267348817132658,0.789306892371813,0.948756147243235,-5.5640666541944,FALSE,0.0228453971779737,"Not significant"
"Q15942","High_vs_Control",-0.0498362357697602,9.18954328451678,-0.264375924100502,0.791595907420864,0.950002019891365,-5.56226423369785,FALSE,0.0222754713145825,"Not significant"
"P68402","High_vs_Control",-0.0302913639791846,7.93985334999542,-0.261577025331222,0.793760092803008,0.950002019891365,-5.53620690448939,FALSE,0.0222754713145825,"Not significant"
"P05062","High_vs_Control",0.0759953434290193,9.25785699932758,0.260479850857998,0.794615904608075,0.950002019891365,-5.5025892178944,FALSE,0.0222754713145825,"Not significant"
