"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P01116",-0.484167412833894,0.210439112181519,FALSE
"P01137",-0.176307431308032,-0.226131870634896,FALSE
"P01266",-0.211724832372862,-0.325213338275109,FALSE
"P01275",-0.364498628701009,-0.283976186465391,TRUE
"P01344",0.0136523307702561,-0.343717157505454,FALSE
"P01591",-0.32787649492828,-0.163952016795101,FALSE
"P01597;P04432",-0.0216575797250282,0.226688848071479,FALSE
"P01602",-0.331961421477568,0.570265003165809,FALSE
"P01619",0.0388092463250622,-0.0248486872624039,FALSE
"P01624",-0.00306418409926756,0.226167179913753,FALSE
"P01699",0.0852334183928729,-0.295407999327834,FALSE
"P01700",0.231558086069899,0.212889765102934,FALSE
"P01701",0.302075626071824,0.703687160931816,FALSE
"P01703",-0.0457783076890017,-0.1040736707499,FALSE
"P01704",-0.208526322563811,0.502138768939506,FALSE
"P01706",-0.033093429753249,0.0877256132584918,FALSE
"P01709",-0.30458009215948,0.172089721593794,FALSE
"P01714",-0.185321300781501,-0.000120798111094444,FALSE
"P01717",-0.154278495985009,0.275702473955491,FALSE
"P01732",-0.542118024585279,-0.0832756273434487,FALSE
"P01780",-0.075503638546893,-0.269836182214378,FALSE
"P01817",-0.16518655493469,-0.208826553416339,FALSE
"P01833",-0.0724438688984606,0.0673086493612356,FALSE
"P01834",-0.0272333362179378,0.0968276223319862,FALSE
"P01857",-0.194467841987995,-0.113091236548884,FALSE
"P01859",-0.308066520002061,0.0575058618761233,FALSE
"P01860",0.41684927392528,-0.1872320734726,FALSE
"P01861",-0.0111512189575578,0.287956605790278,FALSE
"P01871",-0.340896294517492,-0.212474298500499,FALSE
"P01876",-0.443143271277545,-0.161198727663409,FALSE
"P01880",0.0176982971990256,0.814264699219136,FALSE
"P01889",-0.384679830652685,0.105499466677088,FALSE
"P01893",-0.377420695600392,0.0280700712725519,FALSE
"P02042",0.331651659982754,0.302287259341922,FALSE
"P02144",0.199918197467923,0.210083223614284,FALSE
"P02533",-0.792106564213881,-0.120568383823002,FALSE
"P02538",-0.662011993011602,-0.141684233830606,FALSE
"P02545",-0.156455499440623,-0.251576357824882,FALSE
"P02549",0.518418597136955,-0.382949969127439,FALSE
