"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P07203",-0.0472598483043871,0.115364651301562,FALSE
"P07225",0.0274457501394849,0.295630318045591,FALSE
"P07237",-0.141363700012683,0.0630069242436839,FALSE
"P07307",-0.136711164393203,0.509021785062575,FALSE
"P07327",-0.388779321439802,0.203294868179976,FALSE
"P07333",-0.552321521645119,-0.179646673091044,FALSE
"P07339",-0.194919251733555,-0.128207720608849,FALSE
"P07355",-0.430860992337982,-0.176891577844023,FALSE
"P07357",0.0584819382976995,0.371197501802868,FALSE
"P07358",0.0223173952727365,0.286409765996998,FALSE
"P07359",-0.410085516095162,0.00540305703433219,FALSE
"P07360",-0.00238942760773675,0.399704632548534,FALSE
"P07384",0.0486274366488004,-0.0308319205337817,FALSE
"P07437",0.0710410326200765,0.00285101832406198,FALSE
"P07477",-0.568620111455179,0.129588808953734,FALSE
"P07585",-0.206341100812736,-0.174832293160806,FALSE
"P07602",-0.308714399029071,-0.235735139410373,FALSE
"P07711",-0.115079545658645,-0.00962313461457232,FALSE
"P07737",-0.0394532426103087,0.0993276502421541,FALSE
"P07738",-0.809400332110114,0.335673726018353,FALSE
"P07741",-0.201575666189274,-0.189718718488093,FALSE
"P07858",-0.255602387162067,-0.0815869630110821,FALSE
"P07900",-0.0483134525665783,-0.110906795886535,FALSE
"P07910",-0.0839744231147357,-0.146526914035289,FALSE
"P07942",-0.161602806798662,-0.0743533062644595,FALSE
"P07947",-0.116438717900005,0.119336045319487,FALSE
"P07948",0.2890881765841,-0.37138317300532,FALSE
"P07988",0.24893390798284,0.465320996622706,FALSE
"P07996",-0.0396128842286387,-0.223855536184463,FALSE
"P08133",-0.0760146710028398,0.377678935511715,FALSE
"P08185",-0.0803612751358838,0.450498873927481,FALSE
"P08195",-0.261397617531276,0.393956533519776,FALSE
"P08237",-0.0965370378575399,0.694725007727957,FALSE
"P08238",-0.193458226058873,-0.192903973235234,FALSE
"P08253",-0.205921853071414,0.282268353201768,FALSE
"P08254",0.167233025859259,-0.0529377613189741,FALSE
"P08263;P09210",-0.413621897950572,0.495828606835953,FALSE
"P08294",-0.138140699514796,-0.121926827797802,FALSE
"P08311",-0.000364046982188171,0.358270352205591,FALSE
"P08319",-0.414490947141271,0.263969301179316,FALSE
"P08493",-0.248073837288828,-0.210676799026373,FALSE
"P08514",-0.00608810838651763,0.0456060181813296,FALSE
"P08519",-0.00963064385562618,-0.489426731175442,FALSE
"P08567",0.400051079838788,0.199235862529285,FALSE
"P08571",-0.0323416171905233,0.279317192808909,FALSE
"P08575",-0.208820864425769,0.000608208358219287,FALSE
"P08581",0.344744966039688,0.194299996479883,FALSE
"P08603",-0.137076959159748,0.651480245909728,FALSE
"P08637",-0.485281789410058,0.39579579227025,FALSE
"P08648",-0.483261795578656,0.079667472600419,FALSE
"P08670",0.42646215539709,0.302630432568463,FALSE
"P08697",-0.0644733786239904,0.429131529976214,FALSE
"P08709",-0.0446348253880782,0.278893141301372,FALSE
"P08727",-0.465676235864382,0.100120157749604,FALSE
