"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"P05452",0.247034751608691,0.311835019260613,FALSE
"P05543",0.0940462845305134,0.619640098893834,FALSE
"P05546",-0.171109506636835,0.79165683329621,FALSE
"P05556",0.145448650470062,0.0302761203904716,FALSE
"P05997",0.681206006976773,0.0270505989901126,FALSE
"P06276",0.069853837942448,0.498227786813251,FALSE
"P06310",-0.0642069230197091,-0.00274037739053945,FALSE
"P06312",0.594989042151537,0.199936755220021,FALSE
"P06331",0.087770935911804,0.714004638001661,FALSE
"P06396",0.0535068492807973,0.293315651741397,FALSE
"P06454",-0.222281617965473,-0.185903032983633,FALSE
"P06576",0.747635175615741,-0.807520999534189,FALSE
"P06681",0.00316207047475103,0.503530221943821,FALSE
"P06702",-0.0457565635339225,-0.598638808827177,FALSE
"P06703",-0.353755626321222,-0.256429843380733,FALSE
"P06727",0.103358111967506,0.212370196276852,FALSE
"P06733",0.126069988433521,-0.135988755086311,FALSE
"P06734",0.270057023987073,0.286469055456717,FALSE
"P06744",1.06528350967695,-0.678631817656585,FALSE
"P06753",0.344643783546513,-0.266661306104066,FALSE
"P06756",0.0728189504639216,0.0299853184146412,FALSE
"P06858",0.17686087644929,0.292378138029452,FALSE
"P07093",-0.0786740067584608,0.194955528967593,FALSE
"P07195",0.161335808413792,-0.482256893330023,FALSE
"P07203",0.11627485473589,-0.461698261230752,FALSE
"P07225",0.0808454612381535,0.56629428958939,FALSE
"P07237",0.089642343510361,-0.0200946120271031,FALSE
"P07307",0.29836678368155,0.375811522844387,FALSE
"P07327",0.152381325420079,0.359235178087244,FALSE
"P07333",-0.345445736506214,0.239732144652278,FALSE
"P07339",0.324190721951195,-0.243978907746072,FALSE
"P07355",-0.0114282066704643,-0.143596720372374,FALSE
"P07357",0.0694141730818139,0.481646095555728,FALSE
"P07358",-0.21718538958612,0.740397084093276,FALSE
"P07359",0.0119407101268578,0.2028620721055,FALSE
"P07360",0.0611675418669098,0.592652341279877,FALSE
"P07384",0.188569156426187,-0.0226346942919378,FALSE
