"PG.ProteinGroups","Run","Contrast","logFC","SE_moderated","CI_low","CI_high","AveExpr","t","P.Value","adj.P.Val","B","N_observed_control","N_observed_low","N_observed_high"
"P98066","20260527","High_vs_Control",-0.0401888543309523,0.192177294530136,-0.421653298782167,0.341275590120263,7.39736708608939,-0.209123842799495,0.834794268612721,0.945586994146543,-5.95977296796549,18,48,29
"P17301","20260527","High_vs_Control",0.0344416054980172,0.165038950387211,-0.291787883486017,0.360671094482051,8.35386232846108,0.20868773957427,0.834988791935781,0.945586994146543,-6.19289904676675,30,66,46
"A2NJV5","20260527","High_vs_Control",0.0333285845344484,0.160175842575736,-0.283288387618842,0.349945556687739,10.8866893696148,0.208074975592463,0.835466333043005,0.945586994146543,-6.19302252561017,30,66,46
"P25705","20260527","High_vs_Control",0.1179976042121,0.570048519833194,-1.01029704142576,1.24629224984996,8.56501762805946,0.206995720726769,0.836353005012924,0.945844013555626,-6.10934942526108,25,59,39
"P61981","20260527","High_vs_Control",-0.0628802585385611,0.309383962851521,-0.675146726011999,0.549386208934877,7.5492104490623,-0.203243432397103,0.839272885361986,0.948239611446871,-6.11639635219829,26,61,38
"P19022","20260527","High_vs_Control",0.0196679665127775,0.0971136487104628,-0.172294815108525,0.21163074813408,8.21016971204476,0.202525255450097,0.839793798143324,0.948239611446871,-6.19412448711317,30,66,46
"Q96GI7","20260527","High_vs_Control",-0.0361246403152169,0.182869208898985,-0.398284674452774,0.32603539382234,9.41416776440831,-0.197543591579553,0.843744702944033,0.951951143998224,-6.07755806959249,22,54,40
"P50570","20260527","High_vs_Control",-0.0439572650875011,0.225396987703178,-0.489723212503014,0.401808682328012,6.79498140059745,-0.195021528616823,0.845669298790831,0.953372464202871,-6.17303030260225,30,63,41
"P09619","20260527","High_vs_Control",-0.0291248676202951,0.152604594682705,-0.330775592029,0.27252585678841,10.1561913289147,-0.190851839558641,0.848912198276981,0.956276584704785,-6.19634517638335,30,66,46
"O00151","20260527","High_vs_Control",0.092147506255321,0.493671470198863,-0.884529498416321,1.06882451092696,9.77415743343348,0.186657548223724,0.852220342320309,0.957956082444013,-6.11844297172201,24,62,43
"Q96C19","20260527","High_vs_Control",-0.0545327164307796,0.292421449941695,-0.635390193726847,0.526324760865288,6.77744129213607,-0.186486717857574,0.852478106516456,0.957956082444013,-5.91510081245709,15,45,30
"P22891","20260527","High_vs_Control",-0.0306866174200184,0.16476115720927,-0.356369379526903,0.294996144686866,14.3556250630064,-0.186249101061132,0.852513434559898,0.957956082444013,-6.19718447002186,30,66,46
"Q93008","20260527","High_vs_Control",-0.0429285303884015,0.231504040272132,-0.50171184688841,0.415854786111607,6.24111388056925,-0.185433180077286,0.853230552387315,0.957956082444013,-6.0744472877029,25,52,32
"P27482","20260527","High_vs_Control",-0.0391314646884489,0.212989718065488,-0.460149084927078,0.38188615555018,10.8412434640295,-0.18372466541515,0.854489899216959,0.957956082444013,-6.19763610099414,30,66,46
"P35268","20260527","High_vs_Control",-0.0393765559011978,0.214345217034265,-0.464475415281061,0.385722303478665,7.66183276972198,-0.183706249414015,0.854604763217434,0.957956082444013,-6.02719509460675,22,50,30
"Q99439","20260527","High_vs_Control",-0.071085131189923,0.388388535786816,-0.839882618622453,0.697712356242607,7.87576054774562,-0.183025822443279,0.85507934834612,0.957956082444013,-6.09796727798563,23,58,41
"Q8WZ42","20260527","High_vs_Control",0.0506521232539878,0.279530339439392,-0.501929861001711,0.603234107509687,10.3176433619694,0.181204385025155,0.856465718753502,0.958317257881461,-6.19389089822885,30,66,45
"P13646","20260527","High_vs_Control",-0.0371705695499429,0.205527872489788,-0.443438330051665,0.369097190951779,12.5430096362535,-0.18085415423054,0.856738301676453,0.958317257881461,-6.19814221992288,30,66,46
"Q12907","20260527","High_vs_Control",-0.0277075343931461,0.158572509560619,-0.341212182877629,0.285797114091337,9.52669913265146,-0.174731007725864,0.861543280402025,0.962940813793066,-6.17890372889103,28,65,46
"Q15185","20260527","High_vs_Control",-0.0344255699942213,0.200046210550454,-0.43086667149285,0.362015531504407,8.92025827364733,-0.172088088544615,0.863684231563757,0.964581922167,-6.06861026334846,22,50,37
"P04196","20260527","High_vs_Control",0.0156655953512832,0.0925003037050952,-0.167178071175813,0.198509261878379,15.9234820124607,0.169357231531125,0.865754851374154,0.96553031754309,-6.20008959495758,30,66,46
"P31146","20260527","High_vs_Control",0.0467852612842155,0.276511638921131,-0.499796391784424,0.593366914352855,9.54499953858822,0.169198162749164,0.86588004767114,0.96553031754309,-6.2001155156463,30,66,46
"Q3SY84","20260527","High_vs_Control",-0.0630354629380427,0.375995383605021,-0.807012101576226,0.680941175700141,9.19727294912811,-0.167649566156006,0.867123769093829,0.965594952552782,-6.13845266248091,27,61,39
"O43707","20260527","High_vs_Control",-0.0423101668617356,0.252715253173959,-0.542038313666446,0.457417979942974,7.22437162729393,-0.167422291810028,0.867284727258008,0.965594952552782,-6.16123574910159,27,65,44
"Q9BYJ0","20260527","High_vs_Control",0.0308045733962743,0.186292630241237,-0.337438663550394,0.399047810342943,10.319167567853,0.165355834830312,0.868897451860457,0.966639989113961,-6.20073727490623,30,66,46
"Q08722","20260527","High_vs_Control",0.0363751868614415,0.22347449152734,-0.405680511079577,0.47843088480246,9.44096181385581,0.162771091290262,0.870947657558862,0.968169721658456,-6.15443355756545,28,63,40
"Q3ZCW2","20260527","High_vs_Control",-0.0744458348101746,0.466193475835679,-0.998531852640477,0.849640183020128,7.81798305757186,-0.159688710093435,0.873424841245446,0.969652146540817,-6.0679147759908,23,50,34
"Q99895","20260527","High_vs_Control",-0.0361735059996544,0.226893357539684,-0.486007336212041,0.413660324212732,8.95874430296567,-0.159429550480902,0.873633593675548,0.969652146540817,-5.96827161890317,17,56,32
"Q9ULV4","20260527","High_vs_Control",-0.0764202362105433,0.483473026405079,-1.03409608693283,0.881255614511739,8.60649571527568,-0.158065149526076,0.87468292230121,0.970065978793454,-6.0608453405948,22,57,35
"P10619","20260527","High_vs_Control",-0.057867664334788,0.373838287445238,-0.799653180934561,0.683917852264985,7.01599675296126,-0.154793305763966,0.877299732672342,0.970897905697596,-5.98085364767795,18,49,31
"P07996","20260527","High_vs_Control",-0.0396128842286387,0.256236361596517,-0.54611631621497,0.466890547757692,16.8826486878331,-0.154595093303015,0.87735867104295,0.970897905697596,-6.20240235603778,30,66,46
"P02656","20260527","High_vs_Control",-0.0384071617026152,0.248652845564732,-0.529920227479052,0.453105904073822,15.3086051367568,-0.154460977976689,0.877464216027953,0.970897905697596,-6.20242240293329,30,66,46
"P35052","20260527","High_vs_Control",-0.0193759282476771,0.12651727631068,-0.26946032530455,0.230708468809195,7.83708166313707,-0.153148477525686,0.878496949342409,0.970976399624726,-6.2026177732925,30,66,46
"P22692","20260527","High_vs_Control",-0.0309168592904836,0.204419512634317,-0.435093113283492,0.373259394702525,13.7512163101466,-0.151242212115975,0.8800040869828,0.970976399624726,-6.18986462355824,30,65,43
"P30990","20260527","High_vs_Control",-0.0272083416779054,0.180006457754597,-0.38332732145406,0.328910638098249,8.95336364229619,-0.151152030973237,0.880089930131068,0.970976399624726,-6.1324503202884,25,62,42
"Q96L46","20260527","High_vs_Control",0.0249014009304656,0.165772182987398,-0.3028174978628,0.352620299723731,10.9665886242755,0.150214592591561,0.880809880242056,0.970976399624726,-6.20304716413348,30,64,46
"Q96QA5","20260527","High_vs_Control",-0.059196579958984,0.393804415609354,-0.847198008650308,0.72880484873234,6.70151489652103,-0.150319746586351,0.881025101101982,0.970976399624726,-5.67972571845992,9,32,17
"P05109","20260527","High_vs_Control",-0.0427012273931719,0.28618090442684,-0.608396155927143,0.522993701140799,10.7718266029907,-0.149210610256102,0.881597818906132,0.970976399624726,-6.20319353346926,30,66,46
"P30613","20260527","High_vs_Control",-0.0336905461576915,0.228854387300275,-0.486067920978696,0.418686828663313,10.127802467133,-0.147213896815039,0.883170689147299,0.971707028588558,-6.20347979785384,30,66,46
"P07737","20260527","High_vs_Control",-0.0394532426103087,0.269642501566873,-0.572456644633548,0.493550159412931,11.4210940900422,-0.146316854283167,0.883877468018218,0.971707028588558,-6.20360714976366,30,66,46
"P0DOX7","20260527","High_vs_Control",-0.0186407025704334,0.128153381471515,-0.271959158916288,0.234677753775421,13.267080929153,-0.14545618973446,0.884555403578417,0.971707028588558,-6.2037286980566,30,66,46
"P62081","20260527","High_vs_Control",0.0412816290137661,0.284601007926696,-0.52357275154644,0.606136009573972,6.72847926933592,0.145050888310272,0.884971673177585,0.971707028588558,-6.00600933786572,23,48,25
