"Protein","K","Cluster"
"P05387",5,1
"O43897",5,2
"P55287",5,3
"P52943",5,1
"Q8TD06",5,2
"Q9H8J5",5,1
"A1L4H1",5,4
"Q9NYQ6",5,1
"P00736",5,5
"P80108",5,3
"Q8WWZ8",5,5
"Q15293",5,4
"Q16706",5,3
"P15291",5,3
"P07942",5,4
"P01011",5,3
"Q99969",5,4
"Q13217",5,1
"Q9NS62",5,1
"O43505",5,3
"Q14574",5,4
"Q09327",5,2
"Q07954",5,5
"Q9Y625",5,1
"Q8N3T1",5,4
"P07355",5,2
"P19320",5,3
"Q9UHF0",5,3
"Q86TH1",5,5
"Q08554",5,4
"P08833",5,4
"P78509",5,5
"Q15166",5,3
"P35625",5,1
"P14543",5,5
"Q6ZN30",5,2
"Q08722",5,2
"Q6UXI9",5,4
"Q6E0U4",5,3
"P35030",5,2
"P16150",5,1
"P98164",5,2
"Q5D862",5,2
"Q16270",5,4
"P55291",5,2
"Q96EE4",5,3
"P08195",5,3
"Q9H0B8",5,4
"Q8TER0",5,3
"Q9NPG4",5,5
"P08575",5,1
"Q9UBP4",5,1
"P41222",5,3
"Q13609",5,4
"O75339",5,4
"P08238",5,1
"Q99542",5,1
"P04233",5,4
"O60245",5,3
"Q7Z7M9",5,2
"P39060",5,1
"Q8WWV6",5,1
"Q9BYE9",5,5
"Q9H1Z8",5,2
"Q9UBS9",5,4
"P01275",5,3
"Q99784",5,3
"P60033",5,2
"O15031",5,3
"Q9NQ38",5,4
"Q11201",5,3
"A6NDG6",5,2
"Q08174",5,5
"Q8TDL5",5,2
"Q9NRB3",5,1
"O14645",5,2
"Q15438",5,2
"P48740",5,5
"Q9BYJ0",5,4
"Q15599",5,2
"P12830",5,3
"P07307",5,3
"P27169",5,3
"Q7Z7G0",5,1
"Q8NFU4",5,2
"Q641Q3",5,4
"P09871",5,5
"Q9Y6Z7",5,5
"P55157",5,2
"P15311",5,2
"P51148",5,2
"P13645",5,2
"P07333",5,4
"P16112",6,4
"Q08378",6,5
"Q92696",6,5
"P13591",6,4
"Q8TB73",6,6
"P07585",6,4
"O14594",6,4
"O14786",6,4
"Q9Y240",6,6
"P98160",6,4
"Q99983",6,4
"P05090",6,2
"Q13316",6,5
"O75752",6,6
"Q92859",6,4
"O75487",6,6
"Q14520",6,4
"P28482",6,1
"Q6UWP8",6,1
"Q06828",6,4
"P22466",6,2
"Q14956",6,1
"P49746",6,4
"O15335",6,4
"P35052",6,4
"Q99715",6,4
"O00468",6,6
"Q7LGC8",6,4
"Q9NR99",6,4
"P09603",6,6
"Q0VD83",6,4
"Q8NG11",6,5
"Q9UKM7",6,6
"Q6ZRP7",6,6
"P78539",6,4
"Q13103",6,6
"P35443",6,4
"Q14515",6,6
"Q9BYH1",6,4
"P28906",6,6
"P04004",6,4
"Q6P4E1",6,4
"O95196",6,5
"Q5JRA6",6,6
"Q9H251",6,6
"P08294",6,2
"P08493",6,4
"Q8IUX7",6,4
"P49747",6,4
"Q9HC84",6,5
"Q8IZF2",6,6
"P09326",6,5
"P07359",6,4
"Q13444",6,2
"P19256",6,1
"P06734",6,1
"Q6Q788",6,5
"P49641",6,4
"Q6UVK1",6,4
"O75787",6,6
"O60279",6,4
"O94985",6,4
"P14314",6,6
"P10451",6,4
"Q9HCM3",6,6
"O15466",6,4
"Q9NQ79",6,4
"P40967",6,4
"Q12797",6,6
"Q9BUD6",6,2
"Q9BRK5",6,3
"P09619",6,6
"Q8WWA0",6,2
"Q14517",6,3
"P55290",6,2
"P05154",6,1
"P13942",6,4
"Q9BV94",6,6
"P27797",6,6
"Q9Y5X9",6,5
"O43157",6,6
"P12109",6,2
"P23471",6,4
"Q14393",6,3
"Q9BY76",6,2
"Q08431",6,5
"Q9BXX0",6,6
"P13611",6,6
"O95967",6,3
"P12259",6,6
"Q9NRA1",6,4
"Q9NZ53",6,6
"P12111",6,2
"O15400",6,5
"P14625",6,6
"Q6V0I7",6,3
"Q8NEH6",6,5
"P39059",6,4
"P56715",6,5
"Q02952",6,6
"Q13740",6,6
"P05019",6,1
"P51888",6,6
"Q9HCU0",6,6
"Q9NS73",6,5
"Q9Y274",6,2
"Q6UXD5",6,4
"Q6UWD8",6,5
"P26572",6,2
"Q9UGM3",6,5
"Q86TY3",6,4
"P16070",6,4
"Q92823",6,4
"Q9ULI3",6,6
"Q02818",6,4
"Q504Y2",6,6
"Q92187",6,4
"P02760",6,2
"Q53EL9",6,1
"Q15582",6,2
"O00461",6,4
"P26022",6,6
"O60462",6,6
"Q8IZP7",6,4
"P29966",6,5
"Q14767",6,4
"Q76LX8",6,2
"P16871",6,4
"Q9H159",6,3
"Q07507",6,4
"P00966",6,5
"Q8IUK5",6,6
"P98095",6,6
"Q96AQ6",6,4
"P24821",6,6
"Q658P3",6,5
"Q6EMK4",6,2
"Q86YZ3",6,1
"P32942",6,4
"Q6YHK3",6,4
"P20908",6,6
"Q10472",6,6
"P50895",6,6
"Q14242",6,6
"Q8IZP9",6,6
"Q8NBJ4",6,6
"P21810",6,4
"O95715",6,2
"Q9BXN1",6,6
"Q9H2X3",6,1
"Q6UX71",6,3
"Q8NI99",6,3
"O94769",6,4
"Q9NP78",6,5
"Q9Y4L1",6,2
"Q9H8L6",6,2
"Q92752",6,1
"Q92743",6,2
"P51884",6,4
"O00339",6,1
"Q9BWP8",6,3
"Q8NBJ7",6,2
"Q76I76",6,6
"P05387",6,6
"O43897",6,5
"P55287",6,2
"P52943",6,6
"Q8TD06",6,5
"Q9H8J5",6,6
"A1L4H1",6,4
"Q9NYQ6",6,6
"P00736",6,3
"P80108",6,2
"Q8WWZ8",6,3
"Q15293",6,4
"Q16706",6,2
"P15291",6,2
"P07942",6,4
"P01011",6,2
"Q99969",6,1
"Q13217",6,6
"Q9NS62",6,6
"O43505",6,2
"Q14574",6,4
"Q09327",6,1
"Q07954",6,3
"Q9Y625",6,6
