"Protein","Cluster","logFC","adj.P.Val"
"P02760",2,-0.172662685662496,0.0149970712607733
"Q53EL9",1,-0.301136788267518,0.0151539573323163
"Q15582",2,-0.258773821009751,0.0151539573323163
"O00461",1,-0.282960568641922,0.015402129266756
"P26022",1,-0.295036713350385,0.015432376412274
"O60462",1,-0.255842940490183,0.0155681817198973
"Q8IZP7",2,-0.261440066503813,0.0156450468191564
"P29966",1,-0.275976819924358,0.0162675668085129
"Q14767",1,-0.368237871251832,0.0162936921362173
"Q76LX8",2,-0.294736636685709,0.0162983526382422
"P16871",1,-0.300120345626206,0.0176252027347758
"Q9H159",2,-0.275128594243997,0.0177917088440114
"Q07507",2,-0.2791597989685,0.0180988735459372
"P00966",1,-0.362197878692168,0.0181325247291018
"Q8IUK5",1,-0.241450435308362,0.0181325247291018
"P98095",1,-0.289679393335529,0.0181420449315958
"Q96AQ6",1,-0.310011275973494,0.0181511543900977
"P24821",2,-0.324609108312316,0.0182797893800968
"Q658P3",1,-0.318889023802424,0.0184354872978685
"Q6EMK4",2,-0.209511215241774,0.0184610984350618
"Q86YZ3",4,-0.374262172725114,0.0184610984350618
"P32942",2,-0.245322274199392,0.0184610984350618
"Q6YHK3",1,-0.258776249189143,0.0184610984350618
"P20908",2,-0.292857084774441,0.0194227173839545
"Q10472",2,-0.222112284728084,0.0194840548165674
"P50895",1,-0.312988698108146,0.0194840548165674
"Q14242",1,-0.236784097470755,0.0194840548165674
"Q8IZP9",2,-0.295922207034891,0.0194840548165674
"Q8NBJ4",1,-0.243269208530837,0.0198050625488226
"P21810",1,-0.255156077599995,0.0198609095611421
"O95715",2,-0.363457232280329,0.0199153184164183
"Q9BXN1",2,-0.26211184469213,0.0201707135623028
"Q9H2X3",2,-0.276762037593478,0.0201975395623779
"Q6UX71",2,-0.259297358490002,0.020221849306813
"Q8NI99",2,-0.376744036144384,0.0210157065256928
"O94769",2,-0.282012511621854,0.0211681709246874
"Q9NP78",2,-0.336049527634415,0.0212378207322746
"Q9Y4L1",2,-0.252866355474646,0.0212378207322746
"Q9H8L6",2,-0.289188384755947,0.0212378207322746
"Q92752",1,-0.291769357325912,0.0221851392485639
"Q92743",2,-0.27432406058978,0.0227805603135692
"P51884",2,-0.231395482821593,0.0234078529816178
"O00339",1,-0.34008383057583,0.0241020563469803
"Q9BWP8",2,-0.316323849147013,0.0242446435658411
"Q8NBJ7",2,-0.329301487802988,0.0243129663188675
"Q76I76",2,-0.305457957839197,0.0248282528508993
"P05387",1,-0.298449005127107,0.0248282528508993
"O43897",1,-0.265468965506154,0.0249681613263044
"P55287",2,-0.307549165527874,0.0249681613263044
"P52943",1,-0.249442565773917,0.0249681613263044
"Q8TD06",1,-0.29970231594734,0.0249681613263044
"Q9H8J5",1,-0.30196032429328,0.0249681613263044
"A1L4H1",2,-0.272344644166798,0.0249681613263044
"Q9NYQ6",1,-0.282068850695751,0.0249681613263044
"P00736",2,-0.281890875447919,0.0256233671443416
"P80108",2,-0.222537114178104,0.0258962049361854
"Q8WWZ8",2,-0.605686218453402,0.0263115595784522
"Q15293",1,-0.27650235161836,0.0263115595784522
"Q16706",2,-0.185318254675012,0.0269746749336576
"P15291",2,-0.220079850213354,0.0280533678824401
"P07942",2,-0.277385771508028,0.0283164295701337
"P01011",2,-0.266744612621203,0.0289829625737684
"Q99969",4,-0.2734710909269,0.029026832214738
"Q13217",2,-0.336995983888675,0.0293706507398877
"Q9NS62",1,-0.233292211733797,0.0293706507398877
"O43505",2,-0.291127936697015,0.029533879018191
"Q14574",2,-0.370787890857295,0.029533879018191
"Q09327",1,-0.311716429751576,0.029533879018191
"Q07954",2,-0.409638795159573,0.029533879018191
"Q9Y625",1,-0.264424592605062,0.029533879018191
"Q8N3T1",2,-0.275596594748105,0.0297317639717973
"P07355",1,-0.259258488680407,0.0299057380793044
"P19320",2,-0.162930886270264,0.0302884734587436
"Q9UHF0",2,-0.357022814377159,0.0304074113461027
"Q86TH1",2,-0.30193394862134,0.0304074113461027
"Q08554",2,-0.334259103717493,0.0308285780296292
"P08833",4,-0.352034235171971,0.0311800080650509
"P78509",2,-0.334544386095981,0.0311800080650509
"Q15166",2,-0.193904543197643,0.0316209336344992
"P35625",2,-0.369667180512963,0.0316209336344992
"P14543",2,-0.280114957561084,0.0319001173783134
"Q6ZN30",1,-0.253181013609394,0.0321794129002044
"Q08722",1,-0.402388829694333,0.0321794129002044
"Q6UXI9",1,-0.303108420719528,0.0321794129002044
"Q6E0U4",2,-0.329969550091183,0.0321794129002044
"P35030",4,-0.226757645251675,0.0321975382179137
"P16150",1,-0.253775326611992,0.0332895480101797
"P98164",2,-0.481314449975043,0.0340384235664396
"Q5D862",4,-0.313154762533696,0.0358150852205497
"Q16270",2,-0.28014361831114,0.0362334519700918
"P55291",1,-0.349854445958238,0.0362334519700918
"Q96EE4",2,-0.198086430051122,0.0369051920761932
"P08195",2,-0.238850832608696,0.0369051920761932
"Q9H0B8",2,-0.453311755660997,0.0369051920761932
"Q8TER0",2,-0.239364621682418,0.0369051920761932
"Q9NPG4",2,-0.285387676214157,0.0369051920761932
"P08575",1,-0.207999322792395,0.0369051920761932
"Q9UBP4",1,-0.233401783000335,0.0370321772677373
"P41222",2,-0.194943625925434,0.0379146367242385
"Q13609",2,-0.333635306522108,0.0379146367242385
"O75339",1,-0.27351369897152,0.0380328957309912
"P08238",1,-0.234764218216146,0.0381900572030871
"Q99542",1,-0.241552947574224,0.0382458119101941
"P04233",1,-0.222200729948437,0.0382458119101941
"O60245",1,-0.330959017285474,0.0382909821776414
"Q7Z7M9",2,-0.233993591837632,0.0382909821776414
"P39060",1,-0.215702776824871,0.0389796815457881
"Q8WWV6",1,-0.282427471328401,0.0389796815457881
"Q9BYE9",1,-0.380813061372482,0.0389796815457881
"Q9H1Z8",4,-0.253334564529744,0.0394516166874149
"Q9UBS9",1,-0.264965397549887,0.0398719515876813
"P01275",2,-0.355378844900882,0.0398719515876813
"Q99784",2,-0.232311989012283,0.0401338173643078
